station_name,region,operator,tlc,entries_exits_total,entries_exits_full,entries_exits_reduced,entries_exits_season,interchanges,rank
Kirknewton,Scotland,ScotRail,KKN,71168,36896,29594,4678,0,1911
Ruskington,East Midlands,East Midlands Railway,RKT,70984,53908,9558,7518,0,1912
Askam,North West,Northern Trains,ASK,70730,20604,40066,10060,0,1913
Shepherds Well,South East,Southeastern,SPH,70278,18242,30984,21052,0,1914
Saunderton,South East,Chiltern Railways,SDR,69922,46476,12524,10922,0,1915
North Fambridge,East of England,Greater Anglia,NFA,69574,29344,18350,21880,0,1916
Blaydon,North East,Northern Trains,BLO,69496,7948,51594,9954,0,1917
Bosham,South East,Govia Thameslink Railway (Southern),BOH,69330,21470,34504,13356,0,1918
Llanbradach,Wales,TfW Rail,LNB,69198,51268,2512,15418,0,1919
Kiveton Bridge,Yorkshire and The Humber,Northern Trains,KIV,69186,23102,38470,7614,0,1920
Caersws,Wales,TfW Rail,CWS,69134,19890,41800,7444,0,1921
Bedworth,West Midlands,West Midlands Trains (West Midlands Railway),BEH,69046,41330,18298,9418,0,1922
Hyde Central,North West,Northern Trains,HYC,68992,33838,17142,18012,0,1923
Glynde,South East,Govia Thameslink Railway (Southern),GLY,68736,22228,39074,7434,0,1924
Gilshochill,Scotland,ScotRail,GSC,68720,22278,38016,8426,0,1925
Darsham,East of England,Greater Anglia,DSM,68476,11200,54582,2694,0,1926
Portlethen,Scotland,ScotRail,PLN,68214,35232,25866,7116,0,1927
Martin Mill,South East,Southeastern,MTM,68058,9322,36314,22422,0,1928
Bursledon,South East,South Western Railway,BUO,68028,18012,41200,8816,0,1929
Fishbourne (Sussex),South East,Govia Thameslink Railway (Southern),FSB,67938,24526,29886,13526,0,1930
Godstone,South East,Govia Thameslink Railway (Southern),GDN,67778,18550,31656,17572,0,1931
Wickham Market,East of England,Greater Anglia,WCM,67636,18758,44396,4482,0,1932
Renton,Scotland,ScotRail,RTN,67362,21358,37030,8974,0,1933
East Linton,Scotland,ScotRail,ELT,66982,18288,47664,1030,0,1934
Nutbourne,South East,Govia Thameslink Railway (Southern),NUT,66914,18140,22700,26074,0,1935
Insch,Scotland,ScotRail,INS,66866,35666,24880,6320,0,1936
Duffield,East Midlands,East Midlands Railway,DFI,66536,32312,29106,5118,0,1937
Thorne South,Yorkshire and The Humber,Northern Trains,TNS,66512,22288,26576,17648,0,1938
Chilham,South East,Southeastern,CIL,66206,13082,34920,18204,0,1939
Hartlebury,West Midlands,West Midlands Trains (West Midlands Railway),HBY,66184,25958,10826,29400,0,1940
Soham,East of England,Greater Anglia,SOJ,65796,24938,33442,7416,0,1941
Huntly,Scotland,ScotRail,HNT,65636,33936,27138,4562,0,1942
Wythall,West Midlands,West Midlands Trains (West Midlands Railway),WYT,65636,18084,30188,17364,0,1942
Corkickle,North West,Northern Trains,CKL,65558,23868,25620,16070,0,1944
Market Rasen,East Midlands,East Midlands Railway,MKR,65162,19324,42892,2946,0,1945
Wigton,North West,Northern Trains,WGT,64902,10008,43696,11198,0,1946
Auchinleck,Scotland,ScotRail,AUK,64852,25620,35830,3402,0,1947
Watford North,East of England,West Midlands Trains (London Northwestern Railway),WFN,64798,11180,41968,11650,0,1948
Ashfield,Scotland,ScotRail,ASF,64718,24120,34874,5724,0,1949
Prestbury,North West,Northern Trains,PRB,64196,15740,43444,5012,0,1950
Kirkhill,Scotland,ScotRail,KKH,64162,19978,38566,5618,0,1951
Shirehampton,South West,Great Western Railway,SHH,63976,43908,11296,8772,0,1952
Manors,North East,Northern Trains,MAS,63914,11362,50782,1770,0,1953
Mistley,East of England,Greater Anglia,MIS,63776,15564,24140,24072,0,1954
Mount Vernon,Scotland,ScotRail,MTV,63544,22872,34086,6586,0,1955
Colwall,West Midlands,West Midlands Trains (West Midlands Railway),CWL,63456,22220,26530,14706,0,1956
Deighton,Yorkshire and The Humber,Northern Trains,DHN,63430,20448,28620,14362,0,1957
Appleby,North West,Northern Trains,APP,63348,8670,48820,5858,0,1958
Wrexham Central,Wales,TfW Rail,WXC,63048,45806,14560,2682,0,1959
Westenhanger,South East,Southeastern,WHA,62914,16788,25232,20894,0,1960
Marske,North East,Northern Trains,MSK,62908,10136,44138,8634,0,1961
Kirby Cross,East of England,Greater Anglia,KBX,62896,17060,29202,16634,0,1962
Wester Hailes,Scotland,ScotRail,WTA,62844,35532,23754,3558,0,1963
Shepley,Yorkshire and The Humber,Northern Trains,SPY,62316,19092,33038,10186,0,1964
Hollingbourne,South East,Southeastern,HBN,62252,15736,23302,23214,0,1965
Langbank,Scotland,ScotRail,LGB,62206,18788,34174,9244,0,1966
Wanborough,South East,South Western Railway,WAN,62150,26296,24832,11022,0,1967
Dingwall,Scotland,ScotRail,DIN,62120,43700,12840,5580,383,1968
Borth,Wales,TfW Rail,BRH,61940,37402,23562,976,0,1969
West Allerton,North West,Northern Trains,WSA,61846,25816,21514,14516,0,1970
Penrhyndeudraeth,Wales,TfW Rail,PRH,61622,9536,9672,42414,0,1971
Girvan,Scotland,ScotRail,GIR,61504,19724,38020,3760,0,1972
Barnetby,Yorkshire and The Humber,TransPennine Express,BTB,61434,7394,50552,3488,4740,1973
Dunkeld and Birnam,Scotland,ScotRail,DKD,61270,25912,34796,562,0,1974
Inverness Airport,Scotland,ScotRail,IVA,61166,44400,13960,2806,0,1975
Cuxton,South East,Southeastern,CUX,60952,27282,19022,14648,0,1976
Melksham,South West,Great Western Railway,MKM,60930,26582,29496,4852,0,1977
James Cook University Hospital,North East,Northern Trains,JCH,60804,11304,43690,5810,0,1978
Lostock Gralam,North West,Northern Trains,LTG,60696,14078,25946,20672,0,1979
Oulton Broad South,East of England,Greater Anglia,OUS,60488,19254,39236,1998,0,1980
Mill Hill (Lancs),North West,Northern Trains,MLH,60484,18458,30196,11830,0,1981
Shildon,North East,Northern Trains,SHD,60288,11666,43622,5000,0,1982
Merthyr Vale,Wales,TfW Rail,MEV,59920,40576,2212,17132,0,1983
Habrough,Yorkshire and The Humber,East Midlands Railway,HAB,59518,12564,40992,5962,586,1984
Nunthorpe,North East,Northern Trains,NNT,59464,12308,44684,2472,0,1985
Church and Oswaldtwistle,North West,Northern Trains,CTW,59450,18616,25560,15274,0,1986
Portway Park and Ride,South West,Great Western Railway,PRI,59376,43410,4920,11046,0,1987
Gomshall,South East,Great Western Railway,GOM,58620,15570,37098,5952,0,1988
Kelvindale,Scotland,ScotRail,KVD,58426,18744,27726,11956,0,1989
Longbeck,North East,Northern Trains,LGK,58346,12724,39074,6548,0,1990
Gorton,North West,Northern Trains,GTO,58130,24530,17784,15816,0,1991
Kempton Park Racecourse,South East,South Western Railway,KMP,58120,10796,45414,1910,0,1992
Kiveton Park,Yorkshire and The Humber,Northern Trains,KVP,58108,18190,34368,5550,0,1993
Halewood,North West,Northern Trains,HED,58030,17422,31994,8614,0,1994
Lochgelly,Scotland,ScotRail,LCG,57418,24982,29228,3208,0,1995
Dalston (Cumbria),North West,Northern Trains,DLS,57392,8084,30654,18654,0,1996
Delamere,North West,Northern Trains,DLM,57136,13130,40098,3908,0,1997
Trimley,East of England,Greater Anglia,TRM,57066,22708,24526,9832,0,1998
Sarn,Wales,TfW Rail,SRR,56976,43770,2794,10412,0,1999
Hammerton,Yorkshire and The Humber,Northern Trains,HMM,56850,8694,37784,10372,0,2000
Bottesford,East Midlands,East Midlands Railway,BTF,56560,26984,20620,8956,0,2001
Croston,North West,Northern Trains,CSO,56382,10864,42536,2982,0,2002
Milford Haven,Wales,TfW Rail,MFH,55930,19580,35880,470,0,2003
Ystrad Rhondda,Wales,TfW Rail,YSR,55836,42688,2562,10586,0,2004
Holmwood,South East,Govia Thameslink Railway (Southern),HLM,55806,21414,24686,9706,0,2005
Sole Street,South East,Southeastern,SOR,55630,16298,21236,18096,0,2006
Ferriby,Yorkshire and The Humber,Northern Trains,FRY,55512,6598,45254,3660,0,2007
Freshford,South West,Great Western Railway,FFD,55412,22558,24202,8652,0,2008
Lowdham,East Midlands,East Midlands Railway,LOW,55184,41024,8334,5826,0,2009
Acton Bridge (Cheshire),North West,West Midlands Trains (London Northwestern Railway),ACB,54980,30528,21944,2508,0,2010
Feniton,South West,South Western Railway,FNT,54896,9688,35820,9388,0,2011
Kearsley (Manchester),North West,Northern Trains,KSL,54888,13048,34610,7230,0,2012
Nutfield,South East,Govia Thameslink Railway (Southern),NUF,54730,21634,22514,10582,0,2013
Shireoaks,East Midlands,Northern Trains,SRO,54282,8240,38694,7348,0,2014
Umberleigh,South West,Great Western Railway,UMB,54078,14528,18378,21172,0,2015
Sudbury Hill Harrow,London,Chiltern Railways,SDH,53868,27700,23280,2888,0,2016
Kennett,East of England,Greater Anglia,KNE,53638,25062,19546,9030,0,2017
Upwey,South West,South Western Railway,UPW,53534,12976,38232,2326,17018,2018
Bures,East of England,Greater Anglia,BUE,53342,19378,23468,10496,0,2019
Ryde St Johns Road,South East,South Western Railway (Island Line),RYR,53256,9546,30838,12872,0,2020
Quakers Yard,Wales,TfW Rail,QYD,53228,43272,2456,7500,0,2021
Garston (Hertfordshire),East of England,West Midlands Trains (London Northwestern Railway),GSN,53142,11054,32490,9598,0,2022
Llwynypia,Wales,TfW Rail,LLY,53140,41160,2172,9808,0,2023
Birchgrove,Wales,TfW Rail,BCG,53024,39374,2542,11108,0,2024
Bruton,South West,Great Western Railway,BRU,53002,21692,29570,1740,0,2025
Cottingley,Yorkshire and The Humber,Northern Trains,COT,52858,19866,22784,10208,0,2026
Betws-y-Coed,Wales,TfW Rail,BYC,52838,24542,28260,36,0,2027
Eggesford,South West,Great Western Railway,EGG,52658,13528,20308,18822,0,2028
Carlton,East Midlands,East Midlands Railway,CTO,52580,23910,22464,6206,0,2029
Stocksfield,North East,Northern Trains,SKS,52404,8226,37520,6658,0,2030
South Greenford,London,Great Western Railway,SGN,52212,21594,27446,3172,0,2031
Blackridge,Scotland,ScotRail,BKR,51822,24306,22130,5386,0,2032
Gretna Green,Scotland,ScotRail,GEA,51464,14688,36174,602,0,2033
North Road (Darlington),North East,Northern Trains,NRD,51248,10982,31882,8384,0,2034
Whittlesea,East of England,Greater Anglia,WLE,51194,29264,17482,4448,0,2035
Bishopstone (Sussex),South East,Govia Thameslink Railway (Southern),BIP,51166,13900,34280,2986,0,2036
Cressing (Essex),East of England,Greater Anglia,CES,51142,17012,17652,16478,0,2037
Whimple,South West,South Western Railway,WHM,51140,9442,33980,7718,0,2038
Ashley Down,South West,Great Western Railway,ASD,50988,31980,18636,372,0,2039
Woodley,North West,Northern Trains,WLY,50970,26144,12142,12684,0,2040
Dunston,North East,Northern Trains,DOT,50828,4374,32904,13550,0,2041
Farnworth,North West,Northern Trains,FNW,50790,18964,25234,6592,0,2042
Burscough Junction,North West,Northern Trains,BCJ,50780,17368,30008,3404,0,2043
Glenrothes with Thornton,Scotland,ScotRail,GLT,50756,20530,28528,1698,0,2044
Wetheral,North West,Northern Trains,WRL,50658,5288,40824,4546,0,2045
Gunnislake,South West,Great Western Railway,GSL,50302,6230,36350,7722,0,2046
Tondu,Wales,TfW Rail,TDU,49950,40078,3054,6818,0,2047
Aberdovey,Wales,TfW Rail,AVY,49838,25664,24134,40,0,2048
Devonport,South West,Great Western Railway,DPT,49756,19302,16622,13832,0,2049
Cwmbach,Wales,TfW Rail,CMH,49736,38728,2350,8658,0,2050
Lingwood,East of England,Greater Anglia,LGD,49708,16514,24218,8976,0,2051
Cromford,East Midlands,East Midlands Railway,CMF,49680,17906,28912,2862,0,2052
Seascale,North West,Northern Trains,SSC,48928,10362,34448,4118,0,2053
Ansdell and Fairhaven,North West,Northern Trains,AFV,48776,10092,34018,4666,0,2054
Pemberton,North West,Northern Trains,PEM,48658,15530,22676,10452,0,2055
Woodhall,Scotland,ScotRail,WDL,48326,17824,22248,8254,0,2056
Silverdale,North West,Northern Trains,SVR,48316,6168,33692,8456,0,2057
Cowden (Kent),South East,Govia Thameslink Railway (Southern),CWN,48136,15452,22156,10528,0,2058
Dodworth,Yorkshire and The Humber,Northern Trains,DOD,47920,11194,31364,5362,0,2059
Acle,East of England,Greater Anglia,ACL,47882,16344,27576,3962,0,2060
Woburn Sands,South East,West Midlands Trains (London Northwestern Railway),WOB,47880,24594,14672,8614,0,2061
Wainfleet,East Midlands,East Midlands Railway,WFL,47824,31494,13784,2546,0,2062
Lockwood,Yorkshire and The Humber,Northern Trains,LCK,47656,9886,26246,11524,0,2063
Kearsney (Kent),South East,Southeastern,KSN,47626,17804,23040,6782,0,2064
Heath Low Level,Wales,TfW Rail,HLL,47556,35216,1610,10730,0,2065
Haydon Bridge,North East,Northern Trains,HDB,47444,5242,39176,3026,0,2066
Blaenau Ffestiniog,Wales,TfW Rail,BFF,47240,15904,31244,92,0,2067
Spondon,East Midlands,East Midlands Railway,SPO,47006,25034,12684,9288,0,2068
Water Orton,West Midlands,West Midlands Trains (West Midlands Railway),WTO,46796,37512,4936,4348,0,2069
Kyle Of Lochalsh,Scotland,ScotRail,KYL,46788,23836,22716,236,0,2070
Penshurst,South East,Govia Thameslink Railway (Southern),PHR,46678,10266,17140,19272,0,2071
Penrhiwceiber,Wales,TfW Rail,PER,46492,35204,1612,9676,0,2072
Pembroke Dock,Wales,TfW Rail,PMD,46394,18564,27630,200,0,2073
Chelford (Cheshire),North West,Northern Trains,CEL,46262,18184,22756,5322,0,2074
Hever,South East,Govia Thameslink Railway (Southern),HEV,46240,8666,28606,8968,0,2075
Fauldhouse,Scotland,ScotRail,FLD,46148,21532,22214,2402,0,2076
Dinas (Rhondda),Wales,TfW Rail,DMG,46050,37524,1980,6546,0,2077
Muir Of Ord,Scotland,ScotRail,MOO,46002,36036,7240,2726,0,2078
Cameron Bridge,Scotland,ScotRail,CBX,45796,18124,25142,2530,0,2079
Heyford,South East,Great Western Railway,HYD,45552,9430,26908,9214,0,2080
Heworth,North East,Northern Trains,HEW,45528,9112,29008,7408,0,2081
Honley,Yorkshire and The Humber,Northern Trains,HOY,45226,12684,20390,12152,0,2082
Coatbridge Central,Scotland,ScotRail,CBC,45164,19116,22682,3366,0,2083
Crowhurst,South East,Southeastern,CWU,45154,7686,21134,16334,0,2084
Dumpton Park,South East,Southeastern,DMP,45098,14980,18402,11716,0,2085
Whitland,Wales,TfW Rail,WTL,44580,13988,29450,1142,2752,2086
Trafford Park,North West,Northern Trains,TRA,44548,19212,17316,8020,0,2087
Hutton Cranswick,Yorkshire and The Humber,Northern Trains,HUT,44492,3268,33052,8172,0,2088
Fairbourne,Wales,TfW Rail,FRB,44390,20226,19680,4484,0,2089
Midgham,South East,Great Western Railway,MDG,44038,8292,28218,7528,0,2090
Gypsy Lane,North East,Northern Trains,GYP,44024,10534,30660,2830,0,2091
Buckley,Wales,TfW Rail,BCK,44006,37576,5360,1070,0,2092
Skewen,Wales,TfW Rail,SKE,43980,16412,21912,5656,0,2093
Hyde North,North West,Northern Trains,HYT,43946,21478,8450,14018,0,2094
Cardenden,Scotland,ScotRail,CDD,43222,19450,21614,2158,0,2095
Monifieth,Scotland,ScotRail,MON,43194,30718,11696,780,0,2096
Whinhill,Scotland,ScotRail,WNL,43124,13648,24406,5070,0,2097
Staveley (Cumbria),North West,Northern Trains,SVL,42876,3136,22680,17060,0,2098
Moorside,North West,Northern Trains,MSD,42856,11690,25392,5774,0,2099
Chassen Road,North West,Northern Trains,CSR,42472,21888,5998,14586,0,2100
Weeley,East of England,Greater Anglia,WEE,42386,12782,18622,10982,0,2101
Hellifield,Yorkshire and The Humber,Northern Trains,HLD,42272,2778,39136,358,766,2102
Yalding,South East,Southeastern,YAL,42188,11236,16400,14552,0,2103
Kingussie,Scotland,ScotRail,KIN,42058,22460,18294,1304,0,2104
Holton Heath,South West,South Western Railway,HOL,42058,20094,12012,9952,0,2104
Copplestone,South West,Great Western Railway,COP,41732,23576,7212,10944,0,2106
Briton Ferry,Wales,TfW Rail,BNF,41642,16134,22090,3418,0,2107
Reedham (Norfolk),East of England,Greater Anglia,REE,41566,11490,22172,7904,890,2108
Leigh (Kent),South East,Govia Thameslink Railway (Southern),LIH,41564,11220,14378,15966,0,2109
Perranwell,South West,Great Western Railway,PRW,41538,16656,17902,6980,0,2110
Dovey Junction,Wales,TfW Rail,DVY,41454,8204,33250,0,13454,2111
Rishton,North West,Northern Trains,RIS,41332,12066,25238,4028,0,2112
Bentham,Yorkshire and The Humber,Northern Trains,BEN,41208,4928,34364,1916,0,2113
Neston,North West,TfW Rail,NES,41204,33588,6914,702,0,2114
Troed-Y-Rhiw,Wales,TfW Rail,TRD,40862,30532,1534,8796,0,2115
Nafferton,Yorkshire and The Humber,Northern Trains,NFN,40808,3658,30774,6376,0,2116
Creswell,East Midlands,East Midlands Railway,CWD,40768,20606,13904,6258,0,2117
Ebbw Vale Parkway,Wales,TfW Rail,EBV,40736,31272,4498,4966,0,2118
Gargrave,Yorkshire and The Humber,Northern Trains,GGV,40672,8776,30296,1600,0,2119
Hunmanby,Yorkshire and The Humber,Northern Trains,HUB,40664,4154,31408,5102,0,2120
Woodhouse,Yorkshire and The Humber,Northern Trains,WDH,40388,14218,22636,3534,0,2121
Heckington,East Midlands,East Midlands Railway,HEC,40268,22534,14950,2784,0,2122
Dorking West,South East,Great Western Railway,DKT,40162,10950,23114,6098,0,2123
Willington,East Midlands,East Midlands Railway,WIL,40140,18198,19856,2086,0,2124
Goostrey,North West,Northern Trains,GTR,39526,13434,22902,3190,0,2125
Bere Alston,South West,Great Western Railway,BAS,39426,11280,20380,7766,0,2126
Islip,South East,Chiltern Railways,ISP,39188,14054,17004,8130,0,2127
Ambergate,East Midlands,East Midlands Railway,AMB,39004,16352,19016,3636,0,2128
East Farleigh,South East,Southeastern,EFL,38974,14080,15800,9094,0,2129
Calstock,South West,Great Western Railway,CSK,38968,6278,28604,4086,0,2130
Taynuilt,Scotland,ScotRail,TAY,38888,7312,3740,27836,0,2131
Ravenglass for Eskdale,North West,Northern Trains,RAV,38812,5206,30090,3516,0,2132
Llwyngwril,Wales,TfW Rail,LLW,38780,11358,11590,15832,0,2133
Llanfairpwll,Wales,TfW Rail,LPG,38650,14674,20970,3006,0,2134
Llansamlet,Wales,TfW Rail,LAS,38484,12906,22726,2852,0,2135
Trehafod,Wales,TfW Rail,TRH,38404,29116,1558,7730,0,2136
Lapworth,West Midlands,Chiltern Railways,LPW,38396,14050,14384,9962,0,2137
Dean (Wilts),South West,South Western Railway,DEN,38188,5850,25974,6364,0,2138
Fairlie,Scotland,ScotRail,FRL,38032,12496,22834,2702,0,2139
Brockholes,Yorkshire and The Humber,Northern Trains,BHS,37888,11078,23230,3580,0,2140
Bekesbourne,South East,Southeastern,BKS,37720,19542,12812,5366,0,2141
Llanfairfechan,Wales,TfW Rail,LLF,37652,13418,22958,1276,0,2142
Heighington,North East,Northern Trains,HEI,37274,8768,10276,18230,0,2143
Thurso,Scotland,ScotRail,THS,36980,20924,15464,592,0,2144
Moses Gate,North West,Northern Trains,MSS,36928,12048,17846,7034,0,2145
Langho,North West,Northern Trains,LHO,36914,7958,22430,6526,0,2146
Brierfield,North West,Northern Trains,BRF,36894,11548,17590,7756,0,2147
Criccieth,Wales,TfW Rail,CCC,36588,16832,18960,796,0,2148
Millbrook (Hants),South East,South Western Railway,MBK,36446,10124,19246,7076,0,2149
Harrington,North West,Northern Trains,HRR,36300,8706,20450,7144,0,2150
Gunton,East of England,Greater Anglia,GNT,36122,12264,21676,2182,0,2151
Talybont,Wales,TfW Rail,TLB,35872,18976,14910,1986,0,2152
Kirkby Stephen,North West,Northern Trains,KSW,35744,5060,30600,84,0,2153
Baglan,Wales,TfW Rail,BAJ,35200,15122,14952,5126,0,2154
Pembroke,Wales,TfW Rail,PMB,35106,13030,21876,200,0,2155
Maybole,Scotland,ScotRail,MAY,35058,12512,20826,1720,0,2156
Hatton,West Midlands,Chiltern Railways,HTN,34912,16306,8016,10590,0,2157
West Runton,East of England,Greater Anglia,WRN,34872,19708,14918,246,0,2158
Warblington,South East,Govia Thameslink Railway (Southern),WBL,34634,14676,15532,4426,0,2159
Kidwelly,Wales,TfW Rail,KWL,34566,9938,19606,5022,0,2160
Bow Street,Wales,TfW Rail,BOW,34538,16996,16790,752,0,2161
Kingsknowe,Scotland,ScotRail,KGE,34444,19166,14072,1206,0,2162
Ockley,South East,Govia Thameslink Railway (Southern),OLY,34176,16830,13740,3606,0,2163
Silkstone Common,Yorkshire and The Humber,Northern Trains,SLK,34104,9944,21932,2228,0,2164
Earlswood (West Midlands),West Midlands,West Midlands Trains (West Midlands Railway),EWD,33834,6536,20544,6754,0,2165
Cherry Tree,North West,Northern Trains,CYT,33742,8944,18062,6736,0,2166
Denham Golf Club,South East,Chiltern Railways,DGC,33726,9896,18644,5186,0,2167
Ribblehead,Yorkshire and The Humber,Northern Trains,RHD,33682,3944,29718,20,0,2168
Althorne (Essex),East of England,Greater Anglia,ALN,33650,13764,11578,8308,0,2169
Beauly,Scotland,ScotRail,BEL,33508,26894,4332,2282,0,2170
Redbridge,South East,South Western Railway,RDB,33394,10244,16974,6176,2375,2171
Riding Mill,North East,Northern Trains,RDM,33170,4500,25606,3064,0,2172
Barton-On-Humber,Yorkshire and The Humber,East Midlands Railway,BAU,33106,12000,19718,1388,0,2173
Chappel and Wakes Colne,East of England,Greater Anglia,CWC,32962,8188,18818,5956,0,2174
Bow Brickhill,South East,West Midlands Trains (London Northwestern Railway),BWB,32874,17938,5934,9002,0,2175
Newstead,East Midlands,East Midlands Railway,NSD,32816,20732,7430,4654,0,2176
Marton,North East,Northern Trains,MTO,32222,6272,23536,2414,0,2177
Dullingham,East of England,Greater Anglia,DUL,32026,14792,7318,9916,0,2178
Carstairs,Scotland,ScotRail,CRS,31886,14340,16018,1528,11793,2179
Aspatria,North West,Northern Trains,ASP,31666,6378,21442,3846,0,2180
Pontlottyn,Wales,TfW Rail,PLT,31640,22820,1326,7494,0,2181
Ravensthorpe,Yorkshire and The Humber,Northern Trains,RVN,31442,10788,13274,7380,0,2182
Lelant,South West,Great Western Railway,LEL,31072,540,30532,0,0,2183
Hawarden,Wales,TfW Rail,HWD,30564,24952,4008,1604,0,2184
Kents Bank,North West,Northern Trains,KBK,30544,4578,21866,4100,0,2185
Pentre-Bach,Wales,TfW Rail,PTB,30388,26084,1534,2770,0,2186
Llandrindod,Wales,TfW Rail,LLO,30278,12602,17636,40,0,2187
Stranraer,Scotland,ScotRail,STR,30196,13904,16264,28,0,2188
Humphrey Park,North West,Northern Trains,HUP,30068,15800,7088,7180,0,2189
Reston,Scotland,ScotRail,RSN,29896,5706,23710,480,0,2190
Burnley Barracks,North West,Northern Trains,BUB,29796,8124,17018,4654,0,2191
Manea,East of England,Greater Anglia,MNE,29708,13274,11830,4604,0,2192
South Bank,North East,Northern Trains,SBK,29630,9250,13084,7296,0,2193
Gwersyllt,Wales,TfW Rail,GWE,29408,21278,3842,4288,0,2194
Worstead,East of England,Greater Anglia,WRT,29316,12298,11660,5358,0,2195
How Wood (Hertfordshire),East of England,West Midlands Trains (London Northwestern Railway),HWW,29104,6822,20298,1984,0,2196
Appledore (Kent),South East,Govia Thameslink Railway (Southern),APD,29092,7922,16264,4906,0,2197
Bordesley,West Midlands,West Midlands Trains (West Midlands Railway),BBS,29062,2380,25252,1430,0,2198
Wildmill,Wales,TfW Rail,WMI,28878,18196,5614,5068,0,2199
Mottisfont and Dunbridge,South East,South Western Railway,DBG,28832,5570,17746,5516,0,2200
Penyffordd,Wales,TfW Rail,PNF,28554,25294,2384,876,0,2201
Bermuda Park,West Midlands,West Midlands Trains (West Midlands Railway),BEP,28434,16004,8172,4258,0,2202
Whatstandwell,East Midlands,East Midlands Railway,WTS,28430,7870,17772,2788,0,2203
Tir-Phil,Wales,TfW Rail,TIR,28360,21270,1018,6072,0,2204
Burneside (Cumbria),North West,Northern Trains,BUD,28192,1914,22134,4144,0,2205
Styal,North West,Northern Trains,SYA,28058,10882,12748,4428,0,2206
Ryder Brow,North West,Northern Trains,RRB,28052,5644,18958,3450,0,2207
Newhaven Harbour,South East,Govia Thameslink Railway (Southern),NVH,27934,7394,11086,9454,0,2208
Fiskerton,East Midlands,East Midlands Railway,FSK,27828,15822,8982,3024,0,2209
Ashurst (Kent),South East,Govia Thameslink Railway (Southern),AHS,27738,9842,8494,9402,0,2210
Upholland,North West,Northern Trains,UPL,27684,12208,11380,4096,0,2211
Llanrwst,Wales,TfW Rail,LWR,27604,14214,13390,0,0,2212
Squires Gate,North West,Northern Trains,SQU,27524,5866,18608,3050,0,2213
Chilworth,South East,Great Western Railway,CHL,27352,11184,12364,3804,0,2214
Fernhill,Wales,TfW Rail,FER,27334,23668,1094,2572,0,2215
Southease,South East,Govia Thameslink Railway (Southern),SEE,27332,9738,16796,798,0,2216
Bowling,Scotland,ScotRail,BWG,27310,9380,15632,2298,0,2217
Bogston,Scotland,ScotRail,BGS,27266,10186,14300,2780,0,2218
Sunnymeads,South East,South Western Railway,SNY,27266,8004,17638,1624,0,2218
Berry Brow,Yorkshire and The Humber,Northern Trains,BBW,27114,7590,11502,8022,0,2220
Bricket Wood,East of England,West Midlands Trains (London Northwestern Railway),BWO,27058,7022,18250,1786,0,2221
Wrabness,East of England,Greater Anglia,WRB,26698,8144,10712,7842,0,2222
Sanquhar,Scotland,ScotRail,SQH,26594,10196,15898,500,0,2223
Adisham,South East,Southeastern,ADM,26556,7854,10612,8090,0,2224
Rainford,North West,Northern Trains,RNF,26220,10030,15014,1176,0,2225
Fenny Stratford,South East,West Midlands Trains (London Northwestern Railway),FEN,26144,14876,7388,3880,0,2226
Fairfield,North West,Northern Trains,FRF,25986,12248,6778,6960,0,2227
Mouldsworth,North West,Northern Trains,MLD,25904,9186,14406,2312,0,2228
Furness Vale,East Midlands,Northern Trains,FNV,25792,4614,17692,3486,0,2229
Streethouse,Yorkshire and The Humber,Northern Trains,SHC,25606,11772,9912,3922,0,2230
Glazebrook,North West,Northern Trains,GLZ,25546,11542,11246,2758,0,2231
Tackley,South East,Great Western Railway,TAC,25334,4916,18226,2192,0,2232
Exton,South West,Great Western Railway,EXN,25256,18076,6202,978,0,2233
Avoncliff,South West,Great Western Railway,AVF,25078,12384,11002,1692,0,2234
Adlington (Cheshire),North West,Northern Trains,ADC,24710,6618,16748,1344,0,2235
Huncoat,North West,Northern Trains,HCT,24574,7422,10662,6490,0,2236
Rufford,North West,Northern Trains,RUF,24438,6426,16570,1442,0,2237
Lostock Hall,North West,Northern Trains,LOH,24366,6416,13824,4126,0,2238
Deganwy,Wales,TfW Rail,DGY,24334,10582,12112,1640,0,2239
Ammanford,Wales,TfW Rail,AMF,23694,11678,11950,66,0,2240
Bempton,Yorkshire and The Humber,Northern Trains,BEM,23682,2190,21442,50,0,2241
Invergordon,Scotland,ScotRail,IGD,23476,18746,2708,2022,0,2242
Hope (Flintshire),Wales,TfW Rail,HPE,23332,16582,2472,4278,0,2243
Tain,Scotland,ScotRail,TAI,23284,17958,4614,712,0,2244
Drayton Green,London,Great Western Railway,DRG,23270,9916,11830,1524,0,2245
Aslockton,East Midlands,East Midlands Railway,ALK,23218,11050,9790,2378,0,2246
Horton-In-Ribblesdale,Yorkshire and The Humber,Northern Trains,HIR,23176,3516,19660,0,0,2247
New Cumnock,Scotland,ScotRail,NCK,23022,7776,13944,1302,0,2248
Sudbury and Harrow Road,London,Chiltern Railways,SUD,22952,16764,3620,2568,0,2249
Stocksmoor,Yorkshire and The Humber,Northern Trains,SSM,22892,5708,11534,5650,0,2250
Whitchurch (Cardiff),Wales,TfW Rail,WHT,22818,17804,1398,3616,0,2251
Clunderwen,Wales,TfW Rail,CUW,22754,6370,16216,168,0,2252
Kirkby-In-Furness,North West,Northern Trains,KBF,22706,5344,14680,2682,0,2253
