station_name,region,operator,tlc,entries_exits_total,entries_exits_full,entries_exits_reduced,entries_exits_season,interchanges,rank
Grays,East of England,c2c,GRY,3585722,1137688,1783498,664536,105963,154
Sydenham (London),London,London Overground,SYD,3541540,1146210,1906478,488852,0,155
West Drayton,London,Elizabeth line,WDT,3533610,1149902,2068514,315194,0,156
Hampstead Heath,London,London Overground,HDH,3511646,1042280,2046724,422642,0,157
Raynes Park,London,South Western Railway,RAY,3497682,1155286,1722880,619516,97448,158
Edmonton Green,London,London Overground,EDR,3486764,1059160,1924880,502724,20177,159
Crewe,North West,Avanti West Coast,CRE,3389590,671358,2553720,164512,1427867,160
Ipswich,East of England,Greater Anglia,IPS,3371206,799646,2088016,483544,761485,161
Epsom (Surrey),South East,Govia Thameslink Railway (Southern),EPS,3342368,1297274,1649430,395664,117631,162
Haymarket,Scotland,ScotRail,HYM,3334408,1524352,1647654,162402,730121,163
Three Bridges,South East,Govia Thameslink Railway (Southern),TBD,3307440,998564,1689422,619454,1076845,164
Paisley Gilmour Street,Scotland,ScotRail,PYG,3241120,1115130,1609374,516616,193147,165
Brentwood,East of England,Elizabeth line,BRE,3232020,1251358,1645276,335386,0,166
New Cross,London,Southeastern,NWX,3180844,985218,1657922,537704,469891,167
Redhill,South East,Govia Thameslink Railway (Southern),RDH,3175326,1079372,1627434,468520,699087,168
Birmingham Snow Hill,West Midlands,West Midlands Trains (West Midlands Railway),BSW,3153970,839924,1168048,1145998,300549,169
Swindon (Wilts),South West,Great Western Railway,SWI,3150912,361158,2546072,243682,234297,170
West Hampstead Thameslink,London,Govia Thameslink Railway (Thameslink),WHP,3147648,1074104,1622542,451002,935688,171
Huddersfield,Yorkshire and The Humber,TransPennine Express,HUD,3136040,976280,1662928,496832,751429,172
Liverpool James Street,North West,Merseyrail,LVJ,3120046,804126,1922280,393640,0,173
Partick,Scotland,ScotRail,PTK,3091680,1007534,1663494,420652,560824,174
New Malden,London,South Western Railway,NEM,3077144,978390,1574806,523948,33976,175
Harrow-On-The-Hill,London,London Underground,HOH,3069228,1200410,1762982,105836,0,176
Tunbridge Wells,South East,Southeastern,TBW,3038690,636448,1799086,603156,65618,177
Stoke-On-Trent,West Midlands,Avanti West Coast,SOT,3015802,752120,2062472,201210,177469,178
Hackney Downs,London,London Overground,HAC,3015486,942272,1768672,304542,1880306,179
Bolton,North West,Northern Trains,BON,3011850,715772,1824114,471964,495120,180
Bishops Stortford,East of England,Greater Anglia,BIS,3003190,1036916,1275712,690562,123676,181
Gidea Park,London,Elizabeth line,GDP,2998252,1164006,1641360,192886,0,182
Exeter Central,South West,Great Western Railway,EXC,2962450,944958,1551764,465728,329880,183
